Sample,Rickettsiacea,Coxiellaceae,Ehrlichia,Borrelia,babseia,Anaplasma,ID,Sex,Species,Habitat,Site,
2E,Yes,Yes,No,No,No,No,8-7,N,AA,BLH,Ocmulgee,Plate2
3E,Yes,Yes,No,No,No,No,5-16,N,AA,Pine,Ocmulgee,Plate2
4E,Yes,Yes,No,No,No,No,5-15,N,AA,Pine,Ocmulgee,Plate2
5E,Yes,Yes,Yes,No,No,Yes,1-11-3,N,AA,Upland,Ocmulgee,Plate2
6E,Yes,Yes,Yes,No,No,Yes,1-10-4,N,AA,Upland,Ocmulgee,Plate2
7E,Yes,Yes,Yes,No,No,Yes,16-18,N,AA,BLH,Ocmulgee,Plate2
8E,Yes,Yes,Yes,Yes,No,Yes,17-7,N,AA,BLH,Ocmulgee,Plate2
9E,Yes,Yes,Yes,No,No,Yes,16-2,N,AA,Pine,Ocmulgee,Plate2
10E,Yes,Yes,Yes,No,No,Yes,15-14,N,AA,Pine,Ocmulgee,Plate2
11E,Yes,Yes,No,No,No,No,15-1,N,AA,Upland,Ocmulgee,Plate2
12E,Yes,Yes,Yes,No,No,Yes,14-3,N,AA,Upland,Ocmulgee,Plate2
1F,Yes,Yes,No,No,No,No,8-8,N,AA,BLH,Ocmulgee,Plate2
2F,Yes,Yes,No,No,No,No,8-12,N,AA,BLH,Ocmulgee,Plate2
3F,Yes,Yes,No,No,No,No,5-17,N,AA,Pine,Ocmulgee,Plate2
4F,Yes,Yes,No,No,No,No,5-5,N,AA,Pine,Ocmulgee,Plate2
5F,Yes,Yes,Yes,No,No,Yes,1-11-4,N,AA,Upland,Ocmulgee,Plate2
6F,Yes,Yes,No,No,No,No,2-18-2,N,AA,Upland,Ocmulgee,Plate2
7F,Yes,Yes,No,No,No,No,16-19,N,AA,BLH,Ocmulgee,Plate2
8F,Yes,Yes,No,No,No,No,17-8,N,AA,BLH,Ocmulgee,Plate2
9F,Yes,Yes,No,No,No,No,16-4,N,AA,Pine,Ocmulgee,Plate2
10F,Yes,Yes,No,No,No,No,16-3,N,AA,Pine,Ocmulgee,Plate2
11F,Yes,Yes,No,No,No,No,15-2,N,AA,Upland,Ocmulgee,Plate2
12F,Yes,Yes,No,No,No,No,14-4,N,AA,Upland,Ocmulgee,Plate2
1G,Yes,Yes,Yes,Yes,No,Yes,8-10,N,AA,BLH,Ocmulgee,Plate2
2G,Yes,Yes,No,No,No,No,8-9,N,AA,BLH,Ocmulgee,Plate2
3G,Yes,Yes,No,No,No,No,5-8,N,AA,Pine,Ocmulgee,Plate2
4G,Yes,Yes,No,No,No,No,5-6,N,AA,Pine,Ocmulgee,Plate2
5G,Yes,Yes,Yes,No,No,Yes,1-11-5,N,AA,Upland,Ocmulgee,Plate2
6G,Yes,Yes,Yes,No,No,Yes,2-18-4,N,AA,Upland,Ocmulgee,Plate2
7G,Yes,Yes,No,No,No,No,16-20,N,AA,BLH,Ocmulgee,Plate2
8G,Yes,Yes,Yes,Yes,No,Yes,17-9,N,AA,BLH,Ocmulgee,Plate2
9G,Yes,Yes,Yes,No,No,Yes,16-5,N,AA,Pine,Ocmulgee,Plate2
10G,Yes,Yes,Yes,No,No,Yes,16-6,N,AA,Pine,Ocmulgee,Plate2
11G,Yes,Yes,Yes,No,No,Yes,15-4,N,AA,Upland,Ocmulgee,Plate2
12G,Yes,Yes,No,No,No,No,14-5,N,AA,Upland,Ocmulgee,Plate2
1H,Yes,Yes,No,Yes,No,No,8-11,N,AA,BLH,Ocmulgee,Plate2
2H,Yes,Yes,Yes,No,No,Yes,8-1,N,AA,BLH,Ocmulgee,Plate2
3H,Yes,Yes,No,No,No,No,5-10,N,AA,Pine,Ocmulgee,Plate2
4H,Yes,Yes,No,No,No,No,6-1,N,AA,Pine,Ocmulgee,Plate2
5H,Yes,Yes,Yes,No,No,Yes,1-11-6,N,AA,Upland,Ocmulgee,Plate2
6H,Yes,Yes,Yes,No,No,Yes,2-18-5,N,AA,Upland,Ocmulgee,Plate2
7H,Yes,Yes,No,No,No,No,17-1,N,AA,BLH,Ocmulgee,Plate2
8H,Yes,Yes,No,Yes,No,No,17-11,N,AA,BLH,Ocmulgee,Plate2
9H,Yes,Yes,No,No,No,No,16-8,N,AA,Pine,Ocmulgee,Plate2
10H,Yes,Yes,No,No,No,No,16-7,N,AA,Pine,Ocmulgee,Plate2
11H,Yes,Yes,No,No,No,No,13-16,N,AA,Upland,Ocmulgee,Plate2
